Comment Number,Comment Text
1,NO AMBANI WAS HURT IN MAKING THIS VIDEO
2,Free speech is a privilege that we simply cannot afford to lose!
3,"I am sorry, I am just a student, i cannot support you financially, but, man, you're someone the country needs rn. your defiance is an example to many. love you and your work."
4,"Speaking truth to power is not easy...voices like yours need to be supported, protected, and cherished. Your words have hit a nerve with our rulers. Keep up the good work. Jai Hind."
5,Thank you for speaking out against fascism. Your courage is invaluable.
6,We need people like you who speak the truth! More power to you
7,"I am a Keralite and a Christian and a 48 year old woman...living in the North ...separated 2 years back with a son to raise...Imagine being me in an Indian society. I usually stay mum to stay alive...but I couldn't stop myself this time. This is the first time ever I have used this button to support any content on social media. Your echoing voice gives me hope that all is not lost. So proud of you.
May the Lord keep you safe and bless you in abundance. Have a long life."
8,Theese voices should be preserved... And also comedy without vulgarity is rare... A great art work
9,Salute to u sir.. Your courage and effort has touched the sky.Thanks for speaking up!
10,Everyday I lost hope in our country. Thanks for staying strong my friend; and giving hope to many real Indians
11,Don't shut up ya Kunal! We love you and will protect you.
12,"If Indian mainstream media and civil society would have even 1% of the courage that this guy has, India could have been a different country."
13,Thanks Kunal. You are fighting a battle that we all should be a part of.
14,"Bhaisahab,  tussi great ho!!Thank you for everything! Our country badly needs brave souls like you"
15,"खाते में मेरे 10,000 भी नहीं, Still I couldn't resist myself supporting your free voice and true patriotism. Here is the second installment of a small contribution towards your fearlessness. Love you Kunal Bhaiya"
16,Thank you. Thank for trying to save my India. You're the modern day freedom fighter we desperately needed.
17,We stand with you ! This is what freedom of speech looks like…what you said was sheer truth !
18,In the world full of cowards your are the voice of bravery. Bravery is not absence of fear but willingness to take stand. Thank you.
19,"It doesn’t matter whether his views are correct or not. The fact that he was brave enough to speak his mind warrants a reward in the form of these donations.
I hope others see these donations and get motivated to speak their mind as well. Freedom of speech in countries like USA is unmatchable to that in India, and this standup act is a step in that direction."
20,Need people like you. The wind is changing. There is hope.
21,Thank you for being the voice of our country Kunal sir. Major major respect
22,Never change Kunal!!  One man is standing against a corrupt system. I urge everyone who is coming here to donate anything that they can afford. All it takes for evil to triumph is for good people to do nothing.
23,"You are an inspiration to so many. Thank you for speaking out when (almost) ALL others cower and cow-tow to save their backsides and enjoy their (often undeserved) privilege. Our beloved country has stood the test of time and shall continue to thrive, thanks in part to selfless people such as you. Who put the greater good before themselves. Godspeed to you. Onward and upward! "
24,"I am speechless. Your humour, fearlessness is exemplary.Wish we all could be like you."
25,Thanks for ur guts and truth Kunal for just not bowing down to the powerful... History will remember people like you.. 
26,Giving my little vote of thanks for standing up against the system. The courage that you wear is what every India should have. More power to you to speak to the truth!
27,"At least through comedy, someone is talking about the real issues of our country while others are too afraid to speak. Here to support you! Hats off to your guts. Jai Hind, Jai Bharat!"
28,"Thanks
The country needs people like you...
Change is needed...."
29,Thank you brother  you are fearless and truthful person.”
30,"Thanks! Sir , You are like the child in the Emperor's story , who can shout "" King, you are naked. """
31,"""Turning truth into laughter while making the powerful uncomfortable—this is called peak comedy. 
Kunal, keep shaking things up!"""
32,Thanks for speaking up unlike the rest of your peers!! You are one last beacon and hope of our democracy. Everytime I lose hope in this country people like you speak up.
33,Saw it again after 10 days. Still funny
34,Thank you for being brave and exposing the hypocrisy of our dear government. We need people like you. I am sorry for all the trouble you have to go through.
35,Need more people like you who can stand still and change the situation. We stand with you.
36,"""You may be 38 years old, as I happen to be. And one day, some great opportunity stands before you and calls you to stand up for some great principle, some great issue, some great cause. And you refuse to do it because you are afraid…. You refuse to do it because you want to live longer…. You’re afraid that you will lose your job, or you are afraid that you will be criticized or that you will lose your popularity, or you’re afraid that somebody will stab you, or shoot at you or bomb your house; so you refuse to take the stand.

Well, you may go on and live until you are 90, but you’re just as dead at 38 as you would be at 90. And the cessation of breathing in your life is but the belated announcement of an earlier death of the spirit""
Thank you for being so brave!"
